Country,Cases,Daily Cases,Case Inc,3-day Case Inc, 7-day Case inc,+/- Case %, Cases per 1k,Deaths,Daily Deaths,Death Inc,3-day Death Inc, 7-day Death inc,+/- Deaths %, Deaths per 1k,Mortality,Delayed Mortality,Population 2018
EGY,536,41,7.64925,11.9309,9.96813,1.9628,0.00544585,	30,6,20,14.0079,18.4873,-4.47935,0.000304805,	14.6341,18.0723,	98423595
ESP,72247,8189,11.3347,18.52,16.9161,1.60398,1.54626,	5690,832,14.6221,22.6538,22.2202,0.433591,0.12178,	10.16,50.9081,	46723749
EST,640,65,10.1562,16.7205,10.8295,5.89103,0.484524,	1,0,0,33.3333,14.2857,19.0476,0.000757069,	0,0.444444,	1320884
ETH,16,0,0,11.1111,7.35931,3.7518,0.000146487,	0,0,0,0,0,0,0,	0,0,	109224559
FIN,1218,193,15.8456,13.5081,13.3018,0.206267,0.22073,	9,2,22.2222,52.2487,36.678,15.5707,0.00163101,	1.03627,2.82132,	5518050
FJI,5,0,0,0,18.3333,-18.3333,0.00565942,	0,0,0,0,0,0,0,	0,0,	883483
FRA,37575,4611,12.2715,16.2982,14.5283,1.76985,0.560928,	2314,319,13.7857,22.5499,21.0917,1.45821,0.0345439,	6.91824,29.9353,	66987244
FRO,155,11,7.09677,7.72153,8.8613,-1.13977,3.19607,	0,0,0,0,0,0,0,	0,0,	48497
GAB,7,0,0,4.7619,9.18367,-4.42177,0.00330302,	1,0,0,0,0,0,0.000471859,	0,100,	2119275
GBR,17089,2546,14.8985,22.7453,18.9674,3.77789,0.25702,	1019,260,25.5152,26.038,22.2808,3.75716,0.0153258,	10.2121,52.2564,	66488991
GEO,85,4,4.70588,6.29318,9.24518,-2.952,0.0227821,	0,0,0,0,0,0,0,	0,0,	3731000
GGY,39,3,7.69231,16.1153,24.3581,-8.24285,0.618792,	0,0,0,0,0,0,0,	0,0,	63026
GHA,141,4,2.83688,25.6767,24.7868,0.889954,0.00473677,	5,2,40,24.4444,31.9048,-7.46032,0.000167971,	50,83.3333,	29767108
GIB,56,1,1.78571,35.3904,19.9292,15.4612,1.66083,	0,0,0,0,0,0,0,	0,0,	33718
GIN,8,3,37.5,19.1667,15.3571,3.80952,0.000644417,	0,0,0,0,0,0,0,	0,0,	12414318
GMB,3,0,0,0,11.9048,-11.9048,0.00131573,	1,0,0,0,14.2857,-14.2857,0.000438577,	0,100,	2280102
GNB,2,0,0,33.3333,14.2857,19.0476,0.00106706,	0,0,0,0,0,0,0,	0,0,	1874309
GNQ,13,0,0,11.4025,14.4106,-3.0081,0.00993144,	0,0,0,0,0,0,0,	0,0,	1308974
GRC,1061,95,8.95382,11.3582,10.3455,1.01267,0.0989031,	32,4,12.5,14.7061,17.5254,-2.8193,0.00298294,	4.21053,8.26873,	10727668
GRD,9,2,22.2222,35.9788,29.7052,6.27362,0.0807508,	0,0,0,0,0,0,0,	0,0,	111454
GRL,10,1,10,26.6667,18.5714,8.09524,0.178492,	0,0,0,0,0,0,0,	0,0,	56025
GTM,34,2,5.88235,14.7525,12.5821,2.17031,0.00197127,	1,0,0,0,0,0,5.79784e-05,	0,16.6667,	17247807
GUM,55,4,7.27273,16.3992,16.6543,-0.255122,0.331789,	1,0,0,0,14.2857,-14.2857,0.00603253,	0,0,	165768
GUY,8,3,37.5,12.5,5.35714,7.14286,0.0102695,	1,0,0,0,0,0,0.00128369,	0,25,	779004
HND,110,15,13.6364,32.0891,19.19,12.8991,0.0114732,	2,1,50,50,21.4286,28.5714,0.000208604,	6.66667,22.2222,	9587522
HRV,657,71,10.8067,16.8346,20.6824,-3.84786,0.160659,	5,2,40,41.1111,31.9048,9.20635,0.00122267,	2.8169,7.24638,	4089400
